,type,name,iso_country,iso_region,municipality,iata_code,coordinates
0,heliport,Total Rf Heliport,US,US-PA,Bensalem,,"40.07080078125, -74.93360137939453"
1,small_airport,Aero B Ranch Airport,US,US-KS,Leoti,,"38.704022, -101.473911"
2,small_airport,Lowell Field,US,US-AK,Anchor Point,,"59.94919968, -151.695999146"
3,small_airport,Epps Airpark,US,US-AL,Harvest,,"34.86479949951172, -86.77030181884766"
4,closed,Newport Hospital & Clinic Heliport,US,US-AR,Newport,,"35.6087, -91.254898"
5,small_airport,Fulton Airport,US,US-OK,Alex,,"34.9428028, -97.8180194"
6,small_airport,Cordes Airport,US,US-AZ,Cordes,,"34.305599212646484, -112.16500091552734"
7,small_airport,Goldstone /Gts/ Airport,US,US-CA,Barstow,,"35.350498199499995, -116.888000488"
8,small_airport,Williams Ag Airport,US,US-CA,Biggs,,"39.427188, -121.763427"
9,heliport,Kitchen Creek Helibase Heliport,US,US-CA,Pine Valley,,"32.7273736, -116.4597417"
10,closed,Cass Field,US,US-CO,Briggsdale,,"40.622202, -104.344002"
11,small_airport,Grass Patch Airport,US,US-FL,Bushnell,,"28.64550018310547, -82.21900177001953"
12,heliport,Ringhaver Heliport,US,US-FL,Riverview,,"28.846599578857422, -82.34539794921875"
13,small_airport,River Oak Airport,US,US-FL,Okeechobee,,"27.230899810791016, -80.96920013427734"
14,small_airport,Lt World Airport,US,US-GA,Lithonia,,"33.76750183105469, -84.06829833984375"
15,heliport,Caffrey Heliport,US,US-GA,Hiram,,"33.88420104980469, -84.73390197753906"
16,heliport,Kaupulehu Heliport,US,US-HI,Kailua/Kona,,"19.832715, -155.980233"
17,small_airport,Delta Shores Airport,US,US-ID,Clark Fork,,"48.145301818847656, -116.21399688720703"
18,small_airport,Goltl Airport,US,US-KS,McDonald,,"39.724028, -101.395994"
19,heliport,Bailey Generation Station Heliport,US,US-IN,Chesterton,,"41.644500732421875, -87.122802734375"
20,small_airport,Hammer Airport,US,US-IL,Polo,,"41.97840118408203, -89.5604019165039"
21,heliport,St Mary Medical Center Heliport,US,US-IN,Hobart,,"41.51139831542969, -87.2605972290039"
22,small_airport,Hayenga's Cant Find Farms Airport,US,US-IL,Kings,,"40.02560043334961, -89.1229019165039"
23,small_airport,Hayden Farm Airport,US,US-KS,Gardner,,"38.72779846191406, -94.93049621582031"
24,small_airport,Robbins Roost Airport,US,US-KY,Stanford,,"37.409400939941406, -84.61969757080078"
25,heliport,Shell Chemical East Site Heliport,US,US-LA,Gonzales,,"30.191944, -90.980833"
26,heliport,Ac & R Components Heliport,US,US-IL,Chatham,,"39.66529846191406, -89.70559692382812"
27,small_airport,Lejeune Airport,US,US-LA,Esterwood,,"30.13629913330078, -92.42939758300781"
28,small_airport,Slater Field,US,US-MD,Federalsburg,,"38.75709915161133, -75.75379943847656"
29,heliport,Dow Chemical Heliport,US,US-MI,Ludington,,"43.94940185546875, -86.41670227050781"
30,small_airport,Battle Lake Municipal Airport,US,US-MN,Battle Lake,,"46.29999923706055, -95.70030212402344"
31,small_airport,Cooper Flying Service Airport,US,US-MO,Alba,,"37.202800750732, -94.412399291992"
32,closed,Sands Ranch Airport,US,US-MT,Havre,,"48.537498, -109.705002"
33,small_airport,Bucks Airport,US,US-NJ,Bridgeton,,"39.473201751708984, -75.1852035522461"
34,small_airport,North Raleigh Airport,US,US-NC,Louisburg,,"36.085201263427734, -78.37139892578125"
35,heliport,Colgate-Piscataway Heliport,US,US-NJ,New Brunswick,,"40.52090072631836, -74.47460174560547"
36,seaplane_base,Cliche Cove Seaplane Base,US,US-NY,Beekmantown,,"44.8118612, -73.3698057"
37,small_airport,Weiss Airfield,US,US-NY,West Bloomfield,,"42.90010070800781, -77.49970245361328"
38,small_airport,Exit 3 Airport,US,US-OH,Wauseon,,"41.59090042114258, -84.14219665527344"
39,heliport,Miami Valley Hospital Heliport,US,US-OH,Dayton,,"39.74530029296875, -84.1874008178711"
40,small_airport,Gull Bay Landing Airport,US,US-OK,Sandsprings,,"36.198598, -96.217693"
41,heliport,Steel Systems Heliport,US,US-OR,Salem,,"44.932899475097656, -123.12999725341797"
42,heliport,R J D Heliport,US,US-PA,Coatesville,,"39.94889831542969, -75.74690246582031"
43,small_airport,Ferrell Field,US,US-PA,Mercer,,"41.2995, -80.211111"
44,closed,Thomas Field,US,US-PA,Loysville,,"40.3778, -77.365303"
45,small_airport,Mc Kenzie Bridge State Airport,US,US-OR,Mc Kenzie Bridge,,"44.183200836199994, -122.088996887"
46,small_airport,Flying O Airport,US,US-SC,Sumter,,"34.0093994140625, -80.26719665527344"
47,small_airport,Homan Field,US,US-SD,Gary,,"44.809158, -96.498897"
48,heliport,Sw Region Faa Heliport,US,US-TX,Fort Worth,,"32.826900482177734, -97.30580139160156"
49,heliport,Tcjc-Northeast Campus Heliport,US,US-TX,Fort Worth,,"32.847599029541016, -97.18949890136719"
50,small_airport,Ragsdale Road Airport,US,US-TN,Manchester,,"35.515899658203125, -85.95359802246094"
51,small_airport,Alpine Range Airport,US,US-TX,Everman,,"32.607601165771484, -97.24199676513672"
52,closed,San Jacinto Methodist Hospital Heliport,US,US-TX,Baytown,,"29.7377, -94.980201"
53,closed,Clear Creek Ranch Airport,US,US-UT,Kanab,,"37.247799, -112.821998"
54,small_airport,Vaughan Airport,US,US-VA,Alton,,"36.57600021, -78.9991684"
55,small_airport,Groundhog Mountain Airport,US,US-VA,Hillsville,,"36.663299560546875, -80.49949645996094"
56,small_airport,Lower Granite State Airport,US,US-WA,Colfax,,"46.673500061035, -117.44300079346"
57,small_airport,Howell Airport,US,US-WA,Longbranch,,"47.17839813232422, -122.77200317382812"
58,small_airport,Northern Lite Airport,US,US-WI,Waupaca,,"44.304298400878906, -89.05010223388672"
59,small_airport,Hawks Run Airport,US,US-WA,Asotin,,"46.25, -117.2490005493164"
60,small_airport,Lazy J. Aerodrome,US,US-WV,Beverly,,"38.82889938354492, -79.86609649658203"
61,heliport,Mountain View Regional Hospital Heliport,US,US-WY,Casper,,"42.840361, -106.224443"
62,small_airport,L P Askew Farms Airport,US,US-TX,O'Donnell,,"33.03340148925781, -101.93399810791016"
63,small_airport,Purkeypile Airport,US,US-AK,Purkeypile,,"62.943599700927734, -152.27000427246094"
64,heliport,Providence Seward Medical Center Heliport,US,US-AK,Seward,,"60.105873975399994, -149.446249008"
65,small_airport,Ware Island Airport,US,US-AL,Clanton,,"32.94599914550781, -86.51390075683594"
66,heliport,Community Hospital of De Queen Heliport,US,US-AR,De Queen,,"34.047298431396484, -94.35489654541016"
67,heliport,Yat Heliport,US,US-AZ,Camp Verde,,"34.60810089111328, -111.86499786376953"
68,closed,Grant Airport,US,US-MI,Grant,,"43.341701507568, -85.775001525879"
69,heliport,Lugo Substation Heliport,US,US-CA,Hesperia,,"34.368240591699994, -117.370058745"
70,small_airport,Swansboro Country Airport,US,US-CA,Placerville,,"38.79990005493164, -120.73400115966797"
71,heliport,Los Angeles County Sheriff's Department Heliport,US,US-CA,Los Angeles,,"34.03779983520508, -118.15399932861328"
72,heliport,St Vincent General Hospital Heliport,US,US-CO,Leadville,,"39.24530029296875, -106.24600219726562"
73,heliport,Berlin Fairgrounds Heliport,US,US-CT,Berlin,,"41.62730026245117, -72.72750091552734"
74,small_airport,Rybolt Ranch Airport,US,US-FL,Orlando,,"28.589399337768555, -81.14420318603516"
75,heliport,Advent Health Altamonte Springs Heliport,US,US-FL,Altamonte Springs,,"28.666639, -81.3697"
76,small_airport,Cedar Knoll Flying Ranch Airport,US,US-FL,Geneva,,"28.78190040588379, -81.1592025756836"
77,heliport,Medical Center Heliport,US,US-GA,Columbus,,"32.47930145263672, -84.9791030883789"
78,small_airport,The Farm Airport,US,US-GA,Wrightsville,,"32.674400329589844, -82.77110290527344"
79,small_airport,Stender Airport,US,US-IA,Maysville,,"41.66109848022461, -90.74130249023438"
80,small_airport,Lava Hot Springs Airport,US,US-ID,Lava Hot Springs,,"42.6082, -112.031998"
81,small_airport,Myers Field,US,US-IN,Lizton,,"39.8849983215332, -86.50669860839844"
82,heliport,Hoopeston Community Memorial Hospital Heliport,US,US-IL,Hoopeston,,"40.45859909057617, -87.65950012207031"
83,heliport,Community Hospital Heliport,US,US-IN,Anderson,,"40.13090133666992, -85.69580078125"
84,small_airport,William E. Koenig Airport,US,US-IL,Dow,,"39.01620101928711, -90.31819915771484"
85,small_airport,Hilliard Airpark,US,US-FL,Hilliard,,"30.68630027770996, -81.90570068359375"
86,small_airport,Caldwell Municipal Airport,US,US-KS,Caldwell,,"37.03609848022461, -97.5864028930664"
87,small_airport,Flying N Ranch Airport,US,US-KS,Lost Springs,,"38.54059982299805, -97.00330352783203"
88,heliport,Lourdes Hospital Heliport,US,US-KY,Paducah,,"37.051700592041016, -88.64689636230469"
89,small_airport,Barham Airport,US,US-LA,Oak Ridge,,"32.638999938964844, -91.77369689941406"
90,small_airport,Schumaier Restricted Landing Area,US,US-IL,Pinckneyville,,"38.12580108642578, -89.46389770507812"
91,small_airport,Country Breeze Airport,US,US-LA,Slaughter,,"30.70599937438965, -91.07740020751953"
92,heliport,Compaq Andover Heliport,US,US-MA,Andover,,"42.625099182128906, -71.18009948730469"
93,seaplane_base,Annapolis Seaplane Base,US,US-MD,Annapolis,,"38.999199, -76.456001"
94,seaplane_base,Saint Peter's Seaplane Base,US,US-ME,Portage Lake,,"46.778900146484375, -68.50029754638672"
95,heliport,Flow Through Terminal Heliport,US,US-MI,Flint,,"43.04949951171875, -83.67970275878906"
96,seaplane_base,Barnes Seaplane Base,US,US-MN,Cook,,"47.899600982666016, -92.55740356445312"
97,heliport,Highway Patrol Troop C Headquarters Heliport,US,US-MO,Town and Country,,"38.641700744628906, -90.48429870605469"
98,small_airport,Crystal Lakes Resort Airport,US,US-MT,Fortine,,"48.789100646972656, -114.87999725341797"
99,small_airport,Topsail Airpark,US,US-NC,Holly Ridge,,"34.47529983520508, -77.5813980102539"
100,small_airport,Detour Airport,US,US-NE,Wellfleet,,"40.84360122680664, -100.65299987792969"
101,small_airport,Moore Airfield,US,US-NH,Canaan,,"43.6445, -72.086998"
102,heliport,Albert Guido Memorial Heliport,US,US-NJ,Newark,,"40.741798400878906, -74.13710021972656"
103,small_airport,Champion Ranch Airport,US,US-NM,Artesia,,"33.008611, -104.540278"
104,small_airport,Lantana Ranch Airport,US,US-NV,Yerington,,"38.76390075683594, -119.0270004272461"
105,heliport,Vassar Hospital Heliport,US,US-NY,Poughkeepsie,,"41.70009994506836, -73.94960021972656"
106,heliport,Galion Community Hospital Heliport,US,US-OH,Galion,,"40.73059844970703, -82.80159759521484"
107,closed,Lawrence Airport,US,US-OK,Eakly,,"35.294498, -98.636496"
108,closed,Red & White Flying Service Airport,US,US-OR,Silver Lake,,"43.119301, -121.044997"
109,heliport,Pine Heliport,US,US-PA,Mars,,"40.655601501464844, -80.0509033203125"
110,small_airport,Bierly(Personal Use) Airport,US,US-PA,Bellefonte,,"40.930599212646484, -77.73889923095703"
111,small_airport,Nort's Resort Airport,US,US-PA,Meshoppen,,"41.59590148925781, -76.02960205078125"
112,small_airport,York Airport,US,US-SC,York,,"35.032100677490234, -81.25279998779297"
113,heliport,Thirty Thirty Matlock Office Center Heliport,US,US-TX,Arlington,,"32.69419860839844, -97.11579895019531"
114,small_airport,Smith Field,US,US-TX,Forney,,"32.73759841918945, -96.4280014038086"
115,small_airport,Colonial Air Park,US,US-TN,Collierville,,"34.99589920043945, -89.73059844970703"
116,closed,St Joseph Hospital Heliport,US,US-TX,Fort Worth,,"32.7285, -97.324501"
117,small_airport,Mims Farm Ultralightport,US,US-TX,Waxahachie,,"32.38759994506836, -96.87750244140625"
118,small_airport,Duckwater Airport,US,US-NV,Duckwater,,"38.851600646972656, -115.63400268554688"
119,small_airport,La Sal Junction Airport,US,US-UT,La Sal,,"38.30830001831055, -109.39600372314453"
120,small_airport,Pickles Airport,US,US-VA,Berryville,,"39.125, -77.9250030518"
121,heliport,Willapa Harbor Heliport,US,US-WA,South Bend,,"46.66320037841797, -123.81199645996094"
122,small_airport,Prehn Cranberry Company Airport,US,US-WI,Tomah,,"44.0099983215332, -90.38919830322266"
123,heliport,Whidbey General Hospital Heliport,US,US-WA,Coupeville,,"48.213401794433594, -122.68499755859375"
124,heliport,Odyssey Heliport,US,US-WA,Renton,,"47.518178, -122.210908"
125,small_airport,Keyhole Airport,US,US-WY,Moorcroft,,"44.347198486328125, -104.81099700927734"
126,heliport,Seton Medical Center Hays Heliport,US,US-TX,Kyle,,"30.007222, -97.853333"
127,heliport,Meadowood Ranch Heliport,US,US-TX,Athens,,"32.020198822021484, -95.74549865722656"
128,small_airport,Rustic Wilderness Airport,US,US-AK,Willow,,"61.87689971923828, -150.09800720214844"
129,small_airport,Bass Field,US,US-AL,Foley,,"30.37150001525879, -87.76439666748047"
130,closed,Three Rivers Airport,US,US-AR,Little Rock,,"34.822445, -92.44442"
131,closed,Winchester Farm Airstrip,US,US-AZ,Willcox,,"32.376401, -109.936996"
132,heliport,Swepi Beta Platform Ellen Heliport,US,US-CA,Huntington Beach,,"33.58250045776367, -118.12899780273438"
133,small_airport,Shannon Field,US,US-MS,Clarksdale,,"34.129600524902344, -90.52400207519531"
134,small_airport,Conover Air Lodge Airport,US,US-CA,Frazier Park,,"34.761101, -119.058998"
135,small_airport,Mc Cullough Airport,US,US-CO,Monte Vista,,"37.64329910279999, -106.04699707"
136,heliport,Strangers Point Heliport,US,US-CT,Ellington,,"41.91960144042969, -72.44450378417969"
137,small_airport,Osborn Airfield,US,US-FL,Groveland,,"28.52669906616211, -81.87480163574219"
138,small_airport,Cuchens Airport,US,US-FL,Defuniak Springs,,"30.642778, -86.123889"
139,small_airport,Doug Bolton Field,US,US-GA,Commerce,,"34.202598571777344, -83.42900085449219"
140,small_airport,Etowah Fields Airport,US,US-GA,Euharlee,,"34.17530059814453, -84.92440032958984"
141,heliport,K3 Helipad Heliport,US,US-HI,Pearl Harbor,,"21.36199951171875, -157.9510040283203"
142,heliport,Boone County Hospital Heliport,US,US-IA,Boone,,"42.05609893798828, -93.87799835205078"
143,small_airport,Morgan Ranch Airport,US,US-ID,Cascade,,"44.55550003051758, -115.30500030517578"
144,small_airport,King Ultralightport,US,US-IN,Westfield,,"40.06230163574219, -86.21050262451172"
145,small_airport,Diamond P. Field,US,US-IN,Muncie,,"40.208900451660156, -85.54080200195312"
146,heliport,Condell Medical Center Heliport,US,US-IL,Libertyville,,"42.274600982666016, -87.9572982788086"
147,small_airport,Jmj Landing Airport,US,US-KS,St Marys,,"39.222198486328125, -96.0552978515625"
148,heliport,St Claire Healthcare Heliport,US,US-KY,Morehead,,"38.181441, -83.443319"
149,heliport,Boone National Guard Heliport,US,US-KY,Frankfort,,"38.18339920043945, -84.89990234375"
150,heliport,La State Police Troop G Heliport,US,US-LA,Bossier City,,"32.53129959106445, -93.66020202636719"
151,heliport,Windy Hill Heliport,US,US-LA,Broussard,,"30.148300170898438, -91.91899871826172"
152,heliport,Cuttyhunk Heliport,US,US-MA,Gosnold,,"41.41960144042969, -70.927001953125"
153,small_airport,Garner Field,US,US-MD,Brandywine,,"38.672544, -76.709739"
154,small_airport,Nadeau's Airport,US,US-ME,Acton,,"43.5373, -70.929397"
155,small_airport,Fairplains Airpark,US,US-MI,Greenville,,"43.157100677490234, -85.14849853515625"
156,small_airport,Greenbush Municipal Airport,US,US-MN,Greenbush,,"48.68330001831055, -96.19200134277344"
157,small_airport,Troy Airpark,US,US-MO,Troy,,"39.04999923706055, -91.03350067138672"
158,small_airport,Watts Field,US,US-MS,Rochdale,,"34.100101470947266, -90.8468017578125"
159,closed,Barrett Field,US,US-MT,Cascade,,"47.2374, -111.74304"
160,closed,Timber Line Airpark,US,US-MO,Cassville,,"36.654233, -93.797418"
161,heliport,Race City Heliport,US,US-NC,Landis,,"35.541111, -80.597778"
162,small_airport,Benes Service Airport,US,US-NE,Valparaiso,,"41.074501037597656, -96.90450286865234"
163,seaplane_base,Iroquois Landing Seaplane Base,US,US-NH,Dummer,,"44.657100677490234, -71.21910095214844"
164,heliport,Penske Heliport,US,US-NJ,Piscataway,,"40.55730056762695, -74.46710205078125"
165,small_airport,Paiute Meadows Airport,US,US-NV,Winnemucca,,"41.30329895019531, -118.5979995727539"
166,heliport,Hansen Heliport,US,US-NY,Durhamville,,"43.132598876953125, -75.65550231933594"
167,small_airport,Zimmerman Airport,US,US-OH,Fremont,,"41.376399993896484, -83.08329772949219"
168,small_airport,Murtha Airport,US,US-OH,Conneaut,,"41.801998138427734, -80.56539916992188"
169,closed,Canon Heliport,US,US-OK,Oklahoma City,,"35.458401, -97.525297"
170,small_airport,Rowena Dell Airport,US,US-OR,The Dalles,,"45.68149948120117, -121.31600189208984"
171,heliport,Stottle Memorial Heliport,US,US-PA,Honey Grove,,"40.403596, -77.556602"
172,heliport,Lag Iii Heliport,US,US-PA,Monroeville,,"40.43830108642578, -79.7699966430664"
173,heliport,Peco Berwyn Heliport,US,US-PA,Berwyn,,"40.06959915161133, -75.4552001953125"
175,small_airport,Hughes Ultralightport,US,US-PA,Tioga,,"41.90060043334961, -77.23030090332031"
176,small_airport,Harpers Airport,US,US-SC,Estill,,"32.75849914550781, -81.22480010986328"
177,small_airport,Wise River Airport,US,US-MT,Wise River,,"45.769100189208984, -112.98200225830078"
178,heliport,Matagorda Shore Facility Heliport,US,US-TX,Matagorda,,"28.721399307250977, -95.8738021850586"
179,heliport,Baylor Medical Center Heliport,US,US-TX,Waxahachie,,"32.39540100097656, -96.86419677734375"
180,small_airport,Ellis Field,US,US-TN,Murfreesboro,,"35.780601501464844, -86.58419799804688"
181,closed,FWOMC Heliport,US,US-TX,Fort Worth,,"32.747601, -97.370003"
182,small_airport,The Palms At Kitty Hawk Airport,US,US-TX,New Home,,"33.3704032898, -101.92288208"
183,small_airport,Lucin Airport,US,US-UT,Lucin,,"41.36629867553711, -113.84300231933594"
184,small_airport,The Greenhouse Airport,US,US-VA,Culpeper,,"38.435699462890625, -77.8572006225586"
185,heliport,Northstar Aviation Heliport,US,US-VA,Bristol,,"36.63880157470703, -82.11669921875"
186,small_airport,Cawleys South Prairie Airport,US,US-WA,South Prairie,,"47.15230178833008, -122.09400177001953"
187,small_airport,Beer Airport,US,US-WI,Hudson,,"45.031898498535156, -92.65579986572266"
188,small_airport,Fowler Field,US,US-WA,Tonasket,,"48.74580001831055, -119.31900024414062"
189,small_airport,JLS Farms Airport,US,US-TX,Honey Grove,,"33.591319, -95.882864"
190,small_airport,Seidel Ranch Airport,US,US-TX,Elroy,,"30.1476993560791, -97.66280364990234"
191,heliport,Trapper T Heliport,US,US-AK,Palmer,,"61.556055, -149.284527"
192,seaplane_base,Joe Clouds Seaplane Base,US,US-AK,Kenai,,"60.72722244262695, -151.13278198242188"
193,heliport,Highland Medical Center Heliport,US,US-AL,Scottsboro,,"34.662604, -86.046774"
194,heliport,Hscmh Heliport,US,US-AR,Malvern,,"34.357601165771484, -92.78849792480469"
195,small_airport,Thompson International Aviation Airport,US,US-AZ,Hereford,,"31.433399200439453, -110.08399963378906"
196,heliport,Grossmont Hospital Heliport,US,US-CA,La Mesa,,"32.779484, -117.006952"
197,small_airport,Kugel-Strong Airport,US,US-CO,Platteville,,"40.2125015259, -104.744003296"
198,small_airport,Lake Persimmon Airstrip,US,US-FL,Lake Placid,,"27.353099822998047, -81.40809631347656"
199,closed,Tharpe Airport,US,US-FL,Bonifay,,"30.8288, -85.731003"
200,heliport,Ranger Heliport,US,US-FL,West Palm Beach,,"26.683700561523438, -80.18730163574219"
201,small_airport,HIA Airport,US,US-IN,Statesboro,,"32.5623056, -81.8576944"
202,closed,Clarks Dream Strip,US,US-OH,Circleville,,"39.644199, -83.018204"
203,small_airport,East Field,US,US-IA,Montezuma,,"41.58190155029297, -92.4613037109375"
204,small_airport,Flying Y Ranch Airport,US,US-ID,Council,,"44.7943000793457, -116.53299713134766"
205,small_airport,Davis Field Ultralightport,US,US-IN,Mount Vernon,,"37.9620018005, -87.7789001465"
206,small_airport,Wix Airport,US,US-IL,Monee,,"41.40230178833008, -87.81670379638672"
207,small_airport,Heinzman Airport,US,US-IN,Arcadia,,"40.18000030517578, -86.01249694824219"
208,heliport,OSF St Anthony's Health Center Heliport,US,US-IL,Alton,,"38.904999, -90.173401"
209,heliport,Valley Grain Heliport,US,US-KS,Highland,,"39.86470031738281, -95.26409912109375"
210,small_airport,Flying H Farms Airport,US,US-KY,Henderson,,"37.79169845581055, -87.54139709472656"
211,heliport,Damien Heliport,US,US-LA,Carville,,"30.199600219726562, -91.12789916992188"
212,heliport,Fmc Nr 1 Heliport,US,US-LA,Winnsboro,,"32.159000396728516, -91.70800018310547"
213,seaplane_base,Lakeside Marina Seaplane Base,US,US-ME,East Winthrop,,"44.320899963378906, -69.8895034790039"
214,small_airport,Hadley Airport,US,US-MA,Hadley,,"42.39310073852539, -72.552001953125"
215,heliport,Upper Chesapeake Medical Center Heliport,US,US-MD,Bel Air,,"39.522499084472656, -76.32669830322266"
216,small_airport,Maple Ridge Airport,US,US-ME,Harrison,,"44.08420181274414, -70.6272964477539"
217,heliport,Harold Miller Heliport,US,US-MI,Bay City,,"43.550899505615234, -83.86219787597656"
218,small_airport,Nauerth Land Ranch Airport,US,US-MN,Lakefield,,"43.62519836425781, -95.22470092773438"
219,closed,Cahoochie Airport,US,US-MO,Urbana,,"37.884499, -93.131599"
220,heliport,Vicksburg Medical Center Heliport,US,US-MS,Vicksburg,,"32.31880187988281, -90.8832015991211"
221,small_airport,Cascade Field,US,US-MT,Cascade,,"47.267327, -111.71748"
222,small_airport,Mc Donnell Airport,US,US-MO,Archie,,"38.4925003052, -94.41249847410002"
224,small_airport,Pilots Ridge Airport,US,US-NC,Carolina Beach,,"34.10430145263672, -77.9041976928711"
225,small_airport,Olafson Brothers Airport,US,US-ND,Edinburg,,"48.626399993896484, -97.8290023803711"
226,small_airport,Hyde Ranch Airport,US,US-NE,Comstock,,"41.5463981628418, -99.3311996459961"
227,heliport,Lorden Heliport,US,US-NH,Milford,,"42.815399169921875, -71.12439727783203"
228,heliport,At&T Heliport,US,US-NJ,Berkeley Heights,,"40.668701171875, -74.410697937012"
229,small_airport,Llama Ranch Airport,US,US-NV,Ruby Valley,,"40.58440017700195, -115.2979965209961"
230,small_airport,Talmage Field,US,US-NY,Riverhead,,"40.95840072631836, -72.716796875"
231,small_airport,Gibbs Field,US,US-OH,Fremont,,"41.418399810791016, -83.01740264892578"
232,heliport,Marymount Hospital Heliport,US,US-OH,Garfield Heights,,"41.4208984375, -81.59980010986328"
233,small_airport,Sahoma Lake Airport,US,US-OK,Sapulpa,,"36.04119873046875, -96.1613998413086"
234,small_airport,Powwatka Ridge Airport,US,US-OR,Troy,,"45.85540008544922, -117.48400115966797"
235,heliport,Collegeville Heliport,US,US-PA,Collegeville,,"40.162899017333984, -75.4656982421875"
236,heliport,M.P. Metals Heliport,US,US-PA,Berwick,,"41.066861, -76.180806"
237,small_airport,Sun View Field Airport,US,US-KS,Bonner Springs,,"39.065947, -94.921703"
238,closed,Ziggy's Field,US,US-PA,Bellefonte,,"40.849998, -77.905602"
239,small_airport,Sandy River Airport,US,US-OR,Sandy,,"45.401798248291016, -122.22899627685547"
240,heliport,Seacoast Medical Center Heliport,US,US-SC,Little River,,"33.8650016784668, -78.66190338134766"
241,closed,Gay Hill Farm Airport,US,US-TX,Gay Hill,,"30.262699, -96.500198"
242,small_airport,Barronena Ranch Airport,US,US-TX,Hebbronville,,"27.491100311279297, -98.66950225830078"
243,heliport,Eagles Landing Heliport,US,US-TN,Sevierville,,"35.92250061035156, -83.57939910888672"
244,heliport,Shannon Medical Center Heliport,US,US-TX,San Angelo,,"31.45989990234375, -100.43800354003906"
245,heliport,M D K Field,US,US-TX,Pearland,,"29.581600189208984, -95.30719757080078"
246,small_airport,A Z Minerals Corporation Airport,US,US-UT,Mexican Hat,,"37.12080001831055, -109.98600006103516"
247,closed,Whipoorwill Springs Airport,US,US-VA,Nokesville,,"38.66460037231445, -77.57969665527344"
248,small_airport,Spangle Field,US,US-WA,Spangle,,"47.408199310302734, -117.37200164794922"
249,small_airport,Zink Airport,US,US-WI,Berlin,,"44.028873, -88.883945"
250,small_airport,Aerostone Ranch Airport,US,US-WA,Goldendale,,"45.875, -120.66999816894531"
251,small_airport,Creekside Airport,US,US-TX,Mertzon,,"31.318099975585938, -100.75399780273438"
252,small_airport,Phil's Airport,US,US-AK,Soldotna,,"60.535833, -150.811387"
253,heliport,Anniston AHP (Anniston Army Depot),US,US-AL,Anniston,,"33.62639999, -85.96720123"
254,heliport,Saline Memorial Hospital Heliport,US,US-AR,Benton,,"34.574319, -92.586047"
255,small_airport,Chinle Airport,US,US-AZ,Chinle,,"36.15420150756836, -109.5510025024414"
256,small_airport,Gray Butte Field,US,US-CA,Palmdale,,"34.5639, -117.675003"
257,small_airport,Hunt's Sky Ranch Airport,US,US-CA,Julian,,"33.08169937133789, -116.44100189208984"
258,heliport,Shingle Mill Heliport,US,US-CT,Harwinton,,"41.75510025024414, -73.05239868164062"
259,closed,De Leon Municipal Airport,US,US-TX,De Leon,,"32.098801, -98.525325"
260,small_airport,Richards Field,US,US-FL,Homestead,,"25.558700561523438, -80.51509857177734"
261,heliport,Tampa General Hospital Brandon Healthplex Heliport,US,US-FL,Brandon,,"27.929372, -82.336981"
262,small_airport,Cross Creek Farms Airport,US,US-FL,Ormond,,"29.23940086364746, -81.22200012207031"
263,small_airport,Columbus Southwest Airport,US,US-OH,Columbus,,"39.91120147705078, -83.18879699707031"
264,small_airport,Middlekoop Airport,US,US-IA,Packwood,,"41.08829879760742, -92.05460357666016"
265,small_airport,Lanham Field,US,US-ID,Emmett,,"43.87770080566406, -116.53700256347656"
266,small_airport,Turkey Run Airport,US,US-IN,New Haven,,"41.13059997558594, -84.99410247802734"
267,small_airport,Schertz Aerial Service - Hudson Airport,US,US-IL,Hudson,,"40.6375007629, -89.0070037842"
268,seaplane_base,Lake Gage Seaplane Base,US,US-IN,Angola,,"41.701389, -85.113056"
269,small_airport,Van Gorder Airport,US,US-IL,Mansfield,,"40.1786003112793, -88.56900024414062"
270,heliport,Robinson Industries Heliport,US,US-KS,Lawrence,,"38.97890090942383, -95.2197036743164"
271,small_airport,Natchez Trace Farm Airport,US,US-KY,Hiseville,,"37.135101318359375, -85.78939819335938"
272,heliport,St James Heliport,US,US-LA,Lutcher,,"30.051111, -90.702222"
273,small_airport,Brunner Airport,US,US-IL,West Dundee,,"42.13610076904297, -88.28759765625"
274,heliport,La National Guard Heliport,US,US-LA,Baton Rouge,,"30.44610023498535, -91.10530090332031"
275,closed,Goddard Field (Airport),US,US-MA,Haverhill,,"42.8097991943, -71.1391983032"
276,heliport,Chesapeake City Heliport,US,US-MD,Chesapeake City,,"39.51810073852539, -75.82140350341797"
277,small_airport,Beech Hill Airport,US,US-ME,Mercer,,"44.66669845581055, -69.8938980102539"
278,small_airport,Rapids Airway Airport,US,US-MI,Eaton Rapids,,"42.53450012207031, -84.62830352783203"
279,small_airport,Helblad Airport,US,US-MN,Kelliher,,"47.985801696777344, -94.68689727783203"
280,small_airport,Airpark Private Airport,US,US-MO,Vandalia,,"39.30120086669922, -91.45149993896484"
281,small_airport,Nick's Flying Service Inc Airport,US,US-MS,Rolling Fork,,"32.939601898199996, -90.8373031616"
282,small_airport,Pluhar Airport,US,US-MT,Cohagen,,"47.13749777779999, -106.488095"
283,heliport,Western Wake Medical Center Heliport,US,US-NC,Cary,,"35.739200592, -78.7822036743"
284,small_airport,Mc Connell Field Airport,US,US-NE,Sarben,,"41.159999847399995, -101.299003601"
285,small_airport,Emmanuel Airport,US,US-NJ,Elmer,,"39.596801757799994, -75.2334976196"
